Famous Actresses
Scarlett Johansson
Jennifer Lawrence
Angelina Jolie
Jennifer Aniston
Meryl Steep
Audrey Hepburn
Marilyn Monroe
Natalie Portman
Emma Stone
Nicole Kidman
Anne Hathaway
Mila Kunis
Kate Winslet
Charlize Theron
Julia Roberts
Sandra Bullock
Amy Adams
Anna Kendrick
Cameron Diaz
Halle Berry
Jodie Foster
Kirsten Dunst
Julianne Moore
Jessica Alba
Reese Witherspoon
Carrie Fisher
Emma Watson
Kristen Stewart
Julie Andrews

